passport_id,file,key_generation_time_s,recursive_snark_creation_time_s,recursive_snark_verify_time_s,recursive_snark_verify_time_ms,compressed_snark_prove_time_s,compressed_snark_verify_time_s,compressed_snark_verify_time_ms,constraints_primary,variables_primary,constraints_secondary,variables_secondary,peak_memory_kb,peak_memory_mb,peak_memory_gb
0000,passport_0000_output.log,7.612657766,422.09559988,0.42996059000000003,429.96059,14.546391086,0.605969508,605.969508,157312,156666,10347,10329,,,
0001,passport_0001_output.log,8.964520225,429.220068024,0.484635885,484.635885,14.513330355,0.6896895980000001,689.689598,157312,156666,10347,10329,,,
0002,passport_0002_output.log,9.037129352,414.587417325,0.421929603,421.929603,14.348500923,0.576957493,576.957493,157312,156666,10347,10329,,,
0003,passport_0003_output.log,8.738020063,423.05418439,0.42891514399999997,428.915144,14.923810835,0.61860574,618.60574,157312,156666,10347,10329,,,
0004,passport_0004_output.log,9.176657608,421.69679803,0.471961776,471.961776,14.357474431,0.6160071020000001,616.007102,157312,156666,10347,10329,,,
0005,passport_0005_output.log,8.971161625,423.524930852,0.432363573,432.363573,14.515327636,0.674127243,674.127243,157312,156666,10347,10329,,,
0006,passport_0006_output.log,9.232369418,423.749663107,0.45472647,454.72647,14.59434762,0.6131148359999999,613.114836,157312,156666,10347,10329,,,
0007,passport_0007_output.log,9.246950143,425.76897741,0.447034431,447.034431,14.710699321,0.583342237,583.342237,157312,156666,10347,10329,,,
0008,passport_0008_output.log,9.262551487,422.674058487,0.45128463799999996,451.284638,14.378443725,0.597064601,597.064601,157312,156666,10347,10329,,,
0009,passport_0009_output.log,9.118989314,425.882902248,0.453542848,453.542848,14.216155497,0.612094802,612.094802,157312,156666,10347,10329,,,
0010,passport_0010_output.log,9.285199022,424.940587814,0.44997765700000003,449.977657,14.781765423,0.6026711330000001,602.671133,157312,156666,10347,10329,,,
0011,passport_0011_output.log,9.717392616,427.025904137,0.469979991,469.979991,15.074392767,0.6048645269999999,604.864527,157312,156666,10347,10329,,,
0012,passport_0012_output.log,8.89373634,426.350079962,0.447585355,447.585355,14.461015772,0.657268054,657.268054,157312,156666,10347,10329,,,
0013,passport_0013_output.log,9.054765644,426.325120275,0.448188128,448.188128,14.26633919,0.648480145,648.480145,157312,156666,10347,10329,,,
0014,passport_0014_output.log,9.416593043,423.253460357,0.461692398,461.692398,15.005824002,0.636111765,636.111765,157312,156666,10347,10329,,,
0015,passport_0015_output.log,9.522845187,421.845868588,0.462843081,462.843081,14.990335357,0.649936001,649.936001,157312,156666,10347,10329,,,
0016,passport_0016_output.log,9.200974547,425.763145438,0.492743231,492.743231,14.40381765,0.624800768,624.800768,157312,156666,10347,10329,,,
0017,passport_0017_output.log,9.360254225,425.035008957,0.454466564,454.466564,14.755572391,0.5986340360000001,598.634036,157312,156666,10347,10329,,,
0018,passport_0018_output.log,9.388035531,425.23934757,0.44436910999999996,444.36911,15.078279121,0.7074090559999999,707.409056,157312,156666,10347,10329,,,
0019,passport_0019_output.log,9.398459953,427.919131215,0.492993476,492.993476,14.645579756,0.691222966,691.222966,157312,156666,10347,10329,,,
0020,passport_0020_output.log,9.308852158,423.982534913,0.553154657,553.154657,14.696639883,0.636458403,636.458403,157312,156666,10347,10329,,,
0021,passport_0021_output.log,9.140344715,421.54011778,0.483913014,483.913014,14.919187694,0.618899227,618.899227,157312,156666,10347,10329,,,
0022,passport_0022_output.log,9.263684155,423.447063833,0.57699018,576.99018,14.99106455,0.662821468,662.821468,157312,156666,10347,10329,,,
0023,passport_0023_output.log,9.317554907,427.169016497,0.460793883,460.793883,15.142111441,0.600596585,600.596585,157312,156666,10347,10329,,,
0024,passport_0024_output.log,9.117639644,429.117940312,0.469863139,469.863139,14.903395959,0.606638176,606.638176,157312,156666,10347,10329,,,
0025,passport_0025_output.log,9.266557697,427.503755221,0.474901609,474.901609,14.22571006,0.621041815,621.041815,157312,156666,10347,10329,,,
0026,passport_0026_output.log,9.757479176,420.873409408,0.432638118,432.638118,14.396742028,0.614561709,614.561709,157312,156666,10347,10329,,,
0027,passport_0027_output.log,9.698553193,420.309689168,0.436228063,436.228063,14.569620772,0.584883076,584.883076,157312,156666,10347,10329,,,
0028,passport_0028_output.log,9.079650893,427.171914042,0.448822656,448.822656,15.065539202,0.5880006019999999,588.000602,157312,156666,10347,10329,,,
